topic,stance,argument,argument_sentiment
the monarchy,PRO,republicanism is the next logical step toward a fully democratic constitution,1.0
democratization,PRO,democracy is efficient,1.0
boxing,PRO,The typical knock out results in a sustained loss of consciousness,-1.0
intellectual property rights,CON,artists cannot produce new works without an economic incentive,1.0
the use of truth and reconciliation commissions,PRO,transitional justice measures can send signals about the importance of accountability,1.0
multiculturalism,PRO,Reform of cultural pathology often comes from the recognition of difference,1.0
fund education using a voucher scheme,PRO,freedom of education notably implies the freedom for parents to choose a school for their children without discrimination on the basis of finances,
the one-child policy of the republic of China,PRO,Only children are more likely to make outside friends,1.0
year round schooling,CON,If schools are open for longer the operating and maintenance costs may increase,-1.0
the one-child policy of the republic of China,CON,China's birth control policy contributes to forced abortions,-1.0
the monarchy,PRO,a hereditary system condemns each heir to the throne to an abnormal childhood,-1.0
leaking of military documents,PRO,access to information is a basic human right,1.0
wind power,PRO,Wind power has gained very high social acceptance,1.0
the sale of violent video games to minors,CON,Video games are protected speech under the First Amendment,1.0
gambling,CON,"Gambling is now a diverse, vibrant and innovative industry",1.0
freedom of speech,PRO,human rights can be limited or even pushed aside during times of national emergency,-1.0
advertising,PRO,"The ""hyper-commercialization of the culture is recognized and roundly detested by the citizenry",-1.0
gambling,CON,Catholic and Jewish traditions have even set aside days for gambling,1.0
atheism,PRO,the idea of God is inconceivable and self-contradictory,-1.0
unleash the free market,CON,a free market environment) would not be able to adjust effectively to excess supply and demand,-1.0
unleash the free market,PRO,Free markets are the most productive markets,1.0
the sale of violent video games to minors,CON,Exposure alone to media violence does not cause a child to commit crimes,1.0
all nations have a right to nuclear weapons,CON,nuclear weapon technology would soon reach the point where it could end human life on Earth,-1.0
the use of affirmative action,PRO,Race-conscious affirmative action remains necessary to address race-based obstacles,1.0
the right to asylum,CON,everyone can exercise the right to seek asylum and find safe refuge in another state,1.0
the right to asylum,CON,In some of the illegal immigrants' countries of origin humanitarian hardship exists,-1.0
unleash the free market,CON,Unfettered markets undermine the social order,-1.0
the one-child policy of the republic of China,CON,Control over reproduction is a basic need and a basic right for all women,
austerity measures,PRO,social disruption could have a significantly negative impact on investment and growth in the longer term,-1.0
advertising,PRO,The images in advertising depict stereotypical gender roles,-1.0
intellectual property rights,CON,To violate intellectual property is no different morally than violating other property rights,-1.0
endangered species,PRO,Conservation is vital for future study,1.0
build the Keystone XL pipeline,CON,wildlife has been negatively affected by the oil sands,-1.0
bribery,CON,Corruption poses a serious development challenge,-1.0
collective bargaining rights claimed by trades unions,PRO,unions promote deadweight loss,-1.0
unleash the free market,CON,"free' competition means for the great mass of people a tyranny probably worse, because more irresponsible, than that of the state",-1.0
the right to bear arms,CON,The prohibition of an effective means of self defense is considered to be unethical,-1.0
multiculturalism,CON,official multiculturalism limits the freedom of minority members,-1.0
the right to asylum,PRO,"Immigrants acquire jobs which would have otherwise been available to native citizens, suppressing wages",-1.0
barrier methods of contraception,CON,condoms protect against sexually transmitted diseases,1.0
fund education using a voucher scheme,CON,vouchers could result in nothing more than a cash-handout for many middle-class and wealthy families already sending their kids to private schools,-1.0
democratization,PRO,democracy leads to less internal violence and mass murder by the government,1.0
subsidize poor communities,PRO,"Safety nets redistribute income to the poorest and most vulnerable, with an immediate impact on poverty",1.0
the use of affirmative action,CON,Affirmative action creates a cult of victimization,-1.0
build the Keystone XL pipeline,CON,"After completion of the Keystone XL line, oil pipelines to the U.S. may run nearly half-empty",-1.0
governments should choose open source software,PRO,The collaborative nature of the open source community creates software that can offer customizability,1.0
atheism,PRO,"An omniscient, wholly good being would prevent the occurrence of any intense suffering",-1.0
